subject,story,brain_score
sub-139,notthefallintact,0.8131
sub-139,notthefalllongscram,0.8129
sub-139,slumlordreach,0.939
sub-140,notthefallintact,0.8452
sub-140,notthefalllongscram,0.8782
sub-140,slumlordreach,0.857
sub-141,notthefallintact,0.8202
sub-141,notthefallshortscram,0.8037
sub-141,slumlordreach,0.8221
sub-142,notthefallintact,0.9744
sub-142,notthefalllongscram,0.8922
sub-142,slumlordreach,0.9787
sub-143,notthefallintact,0.8951
sub-143,notthefallshortscram,0.8488
sub-143,slumlordreach,0.9826
sub-144,notthefallintact,0.9681
sub-144,notthefalllongscram,0.8369
sub-144,slumlordreach,0.8972
sub-145,notthefallintact,0.9289
sub-145,slumlordreach,0.9767
sub-146,merlin,0.7686
sub-146,sherlock,0.8134
sub-147,merlin,0.8604
sub-147,sherlock,0.7844
sub-148,merlin,0.7908
sub-148,sherlock,0.7924
sub-149,merlin,0.7665
sub-149,sherlock,0.7548
sub-150,merlin,0.8034
sub-150,sherlock,0.8238
sub-151,merlin,0.7727
sub-151,sherlock,0.7679
sub-152,merlin,0.8472
sub-152,sherlock,0.7497
sub-153,merlin,0.812
sub-153,sherlock,0.8359
sub-154,merlin,0.7941
sub-154,sherlock,0.7975
sub-155,merlin,0.8004
sub-155,sherlock,0.8154
sub-156,merlin,0.8143
sub-156,sherlock,0.751
sub-157,merlin,0.8685
sub-157,sherlock,0.8219
sub-158,merlin,0.7557
sub-158,sherlock,0.7588
sub-159,merlin,0.7638
sub-159,sherlock,0.7711
sub-160,merlin,0.8158
sub-160,sherlock,0.781
sub-161,merlin,0.8266
sub-161,sherlock,0.8061
sub-162,merlin,0.8136
sub-162,sherlock,0.791
sub-163,merlin,0.7834
sub-163,sherlock,0.7968
sub-164,merlin,0.8175
sub-164,sherlock,0.7961
sub-165,merlin,0.7909
sub-165,sherlock,0.792
sub-166,merlin,0.7916
sub-166,sherlock,0.7899
sub-167,merlin,0.8007
sub-167,sherlock,0.7868
sub-168,merlin,0.7857
sub-168,sherlock,0.835
sub-169,merlin,0.8169
sub-169,sherlock,0.7892
sub-170,merlin,0.8386
sub-170,sherlock,0.7962
sub-171,merlin,0.7694
sub-171,sherlock,0.7951
sub-172,merlin,0.8172
sub-172,sherlock,0.796
sub-173,merlin,0.7653
sub-173,sherlock,0.8067
sub-174,merlin,0.8485
sub-174,sherlock,0.8049
sub-175,merlin,0.8325
sub-175,sherlock,0.8142
sub-176,merlin,0.816
sub-176,sherlock,0.7941
sub-177,merlin,0.757
sub-177,sherlock,0.7909
sub-178,merlin,0.8486
sub-178,sherlock,0.8431
sub-179,merlin,0.7986
sub-179,sherlock,0.767
sub-180,merlin,0.8357
sub-180,sherlock,0.8174
sub-181,shapesphysical,0.7632
sub-181,shapessocial,0.8806
sub-186,shapesphysical,0.7317
sub-186,shapessocial,0.8146
sub-190,21styear,0.7948
sub-190,shapesphysical,0.7651
sub-190,shapessocial,0.8756
sub-191,shapesphysical,0.939
sub-191,shapessocial,0.8116
sub-195,notthefallintact,0.8152
sub-195,notthefallshortscram,0.8108
sub-199,notthefallintact,0.8213
sub-199,notthefalllongscram,0.8131
sub-200,shapesphysical,0.7558
sub-200,shapessocial,0.7929
sub-201,21styear,0.8017
sub-201,shapesphysical,0.7446
sub-201,shapessocial,0.7996
sub-206,shapesphysical,0.7875
sub-206,shapessocial,0.8188
