subject,story,brain_score
sub-139,notthefallintact,0.8158
sub-139,notthefalllongscram,0.8186
sub-139,slumlordreach,0.9396
sub-140,notthefallintact,0.849
sub-140,notthefalllongscram,0.8798
sub-140,slumlordreach,0.861
sub-141,notthefallintact,0.8313
sub-141,notthefallshortscram,0.8036
sub-141,slumlordreach,0.821
sub-142,notthefallintact,0.9743
sub-142,notthefalllongscram,0.8966
sub-142,slumlordreach,0.9789
sub-143,notthefallintact,0.8945
sub-143,notthefallshortscram,0.8557
sub-143,slumlordreach,0.9838
sub-144,notthefallintact,0.9663
sub-144,notthefalllongscram,0.8382
sub-144,slumlordreach,0.8992
sub-145,notthefallintact,0.9341
sub-145,slumlordreach,0.9785
sub-146,merlin,0.7692
sub-146,sherlock,0.8212
sub-147,merlin,0.8704
sub-147,sherlock,0.7985
sub-148,merlin,0.7998
sub-148,sherlock,0.797
sub-149,merlin,0.7811
sub-149,sherlock,0.7603
sub-150,merlin,0.8037
sub-150,sherlock,0.8246
sub-151,merlin,0.7701
sub-151,sherlock,0.7739
sub-152,merlin,0.8479
sub-152,sherlock,0.7481
sub-153,merlin,0.8163
sub-153,sherlock,0.8404
sub-154,merlin,0.8046
sub-154,sherlock,0.8056
sub-155,merlin,0.8089
sub-155,sherlock,0.826
sub-156,merlin,0.824
sub-156,sherlock,0.7528
sub-157,merlin,0.8734
sub-157,sherlock,0.8305
sub-158,merlin,0.7651
sub-158,sherlock,0.7631
sub-159,merlin,0.7715
sub-159,sherlock,0.7824
sub-160,merlin,0.8207
sub-160,sherlock,0.7878
sub-161,merlin,0.8375
sub-161,sherlock,0.8161
sub-162,merlin,0.8206
sub-162,sherlock,0.7919
sub-163,merlin,0.7956
sub-163,sherlock,0.8064
sub-164,merlin,0.8244
sub-164,sherlock,0.7945
sub-165,merlin,0.8032
sub-165,sherlock,0.7987
sub-166,merlin,0.7963
sub-166,sherlock,0.7959
sub-167,merlin,0.8015
sub-167,sherlock,0.7953
sub-168,merlin,0.7948
sub-168,sherlock,0.8406
sub-169,merlin,0.8238
sub-169,sherlock,0.7932
sub-170,merlin,0.8383
sub-170,sherlock,0.798
sub-171,merlin,0.7787
sub-171,sherlock,0.7936
sub-172,merlin,0.8149
sub-172,sherlock,0.7964
sub-173,merlin,0.7676
sub-173,sherlock,0.8103
sub-174,merlin,0.854
sub-174,sherlock,0.8113
sub-175,merlin,0.8417
sub-175,sherlock,0.8203
sub-176,merlin,0.8147
sub-176,sherlock,0.8031
sub-177,merlin,0.7686
sub-177,sherlock,0.7927
sub-178,merlin,0.857
sub-178,sherlock,0.8514
sub-179,merlin,0.7971
sub-179,sherlock,0.7712
sub-180,merlin,0.8417
sub-180,sherlock,0.823
sub-181,shapesphysical,0.7619
sub-181,shapessocial,0.8786
sub-186,shapesphysical,0.7239
sub-186,shapessocial,0.8108
sub-190,21styear,0.7955
sub-190,shapesphysical,0.7706
sub-190,shapessocial,0.8768
sub-191,shapesphysical,0.938
sub-191,shapessocial,0.8044
sub-195,notthefallintact,0.8148
sub-195,notthefallshortscram,0.8185
sub-199,notthefallintact,0.8232
sub-199,notthefalllongscram,0.8253
sub-200,shapesphysical,0.7623
sub-200,shapessocial,0.7972
sub-201,21styear,0.805
sub-201,shapesphysical,0.7504
sub-201,shapessocial,0.7928
sub-206,shapesphysical,0.7874
sub-206,shapessocial,0.8197
sub-207,shapesphysical,0.8132
sub-207,shapessocial,0.772
sub-208,shapesphysical,0.7588
sub-208,shapessocial,0.8789
sub-209,shapesphysical,0.7417
sub-209,shapessocial,0.7949
sub-210,shapesphysical,0.7716
sub-210,shapessocial,0.8014
sub-211,shapesphysical,0.7709
sub-211,shapessocial,0.949
sub-212,shapesphysical,0.7444
sub-212,shapessocial,0.8109
sub-213,shapesphysical,0.9066
sub-213,shapessocial,0.8175
sub-214,shapesphysical,0.8262
sub-214,shapessocial,0.8129
sub-215,shapesphysical,0.8698
sub-215,shapessocial,0.7866
sub-216,shapesphysical,0.8682
sub-216,shapessocial,0.7782
sub-217,shapesphysical,0.7705
sub-217,shapessocial,0.9463
sub-218,shapesphysical,0.7531
sub-218,shapessocial,0.8059
sub-219,shapesphysical,0.7164
sub-219,shapessocial,0.8015
sub-220,shapesphysical,0.7922
sub-220,shapessocial,0.8356
sub-221,shapesphysical,0.8631
sub-221,shapessocial,0.9691
sub-222,shapesphysical,0.8419
sub-222,shapessocial,0.8845
