subject,story,raw_score,sft_score,delta
sub-200,shapesphysical,0.7558,0.7623,0.00649999999999995
sub-174,sherlock,0.8049,0.8113,0.006400000000000072
sub-308,forgot,0.8107,0.8171,0.006400000000000072
sub-268,notthefalllongscram,0.8542,0.8605,0.006300000000000083
sub-244,21styear,0.7879,0.7941,0.006199999999999983
sub-105,prettymouth,0.8368,0.843,0.006199999999999983
sub-327,notthefallintact,0.8368,0.843,0.006199999999999983
sub-256,21styear,0.7864,0.7926,0.006199999999999983
sub-175,sherlock,0.8142,0.8203,0.006099999999999994
sub-285,black,0.848,0.8541,0.006099999999999994
sub-180,merlin,0.8357,0.8417,0.006000000000000005
sub-166,sherlock,0.7899,0.7959,0.006000000000000005
sub-151,sherlock,0.7679,0.7739,0.006000000000000005
sub-278,piemanpni,0.8543,0.8603,0.006000000000000005
sub-069,lucy,0.8321,0.8381,0.006000000000000005
sub-290,forgot,0.8564,0.8624,0.006000000000000005
sub-293,bronx,0.8022,0.808,0.005800000000000027
sub-201,shapesphysical,0.7446,0.7504,0.005799999999999916
sub-139,notthefalllongscram,0.8129,0.8186,0.005700000000000038
sub-068,pieman,0.8576,0.8633,0.005699999999999927
sub-168,sherlock,0.835,0.8406,0.005600000000000049
sub-292,black,0.806,0.8116,0.005599999999999938
sub-180,sherlock,0.8174,0.823,0.005599999999999938
sub-133,notthefalllongscram,0.8334,0.839,0.005599999999999938
sub-302,piemanpni,0.851,0.8565,0.00550000000000006
sub-190,shapesphysical,0.7651,0.7706,0.005499999999999949
sub-149,sherlock,0.7548,0.7603,0.005499999999999949
sub-174,merlin,0.8485,0.854,0.005499999999999949
sub-065,notthefallshortscram,0.8705,0.876,0.005499999999999949
sub-111,slumlordreach,0.8914,0.8968,0.005400000000000071
sub-062,tunnel,0.8239,0.8293,0.005400000000000071
sub-344,notthefalllongscram,0.8797,0.8851,0.00539999999999996
sub-303,piemanpni,0.844,0.8493,0.005300000000000082
sub-304,black,0.7737,0.779,0.005299999999999971
sub-306,black,0.7952,0.8005,0.005299999999999971
sub-283,bronx,0.8667,0.872,0.005299999999999971
sub-337,notthefalllongscram,0.8627,0.868,0.005299999999999971
sub-145,notthefallintact,0.9289,0.9341,0.0052000000000000934
sub-089,notthefallintact,0.8915,0.8967,0.0052000000000000934
sub-077,pieman,0.8151,0.8203,0.005199999999999982
sub-324,notthefallshortscram,0.867,0.8722,0.005199999999999982
sub-338,notthefallshortscram,0.9013,0.9065,0.005199999999999982
sub-059,lucy,0.8518,0.857,0.005199999999999982
sub-089,prettymouth,0.8593,0.8644,0.005099999999999993
sub-336,notthefallshortscram,0.8607,0.8658,0.005099999999999993
sub-025,tunnel,0.8645,0.8695,0.0050000000000000044
sub-017,pieman,0.8449,0.8499,0.0050000000000000044
sub-133,notthefallintact,0.9071,0.9121,0.0050000000000000044
sub-283,forgot,0.7521,0.7571,0.0050000000000000044
sub-254,21styear,0.8255,0.8305,0.0050000000000000044
sub-160,merlin,0.8158,0.8207,0.0049000000000000155
sub-157,merlin,0.8685,0.8734,0.004899999999999904
sub-301,forgot,0.8812,0.8859,0.0047000000000000375
sub-166,merlin,0.7916,0.7963,0.0047000000000000375
sub-268,21styear,0.7617,0.7664,0.0046999999999999265
sub-089,notthefallshortscram,0.8575,0.8622,0.0046999999999999265
sub-053,pieman,0.8767,0.8814,0.0046999999999999265
sub-032,prettymouth,0.852,0.8566,0.0046000000000000485
sub-148,sherlock,0.7924,0.797,0.0046000000000000485
sub-092,prettymouth,0.8776,0.8822,0.0045999999999999375
sub-328,notthefalllongscram,0.8943,0.8988,0.0045000000000000595
sub-211,shapesphysical,0.7664,0.7709,0.0045000000000000595
sub-153,sherlock,0.8359,0.8404,0.0045000000000000595
sub-210,shapessocial,0.7969,0.8014,0.0044999999999999485
sub-045,pieman,0.8375,0.842,0.0044999999999999485
sub-142,notthefalllongscram,0.8922,0.8966,0.0043999999999999595
sub-033,pieman,0.8647,0.8691,0.0043999999999999595
sub-340,notthefalllongscram,0.8375,0.8419,0.0043999999999999595
sub-034,notthefallintact,0.8785,0.8828,0.0043000000000000815
sub-234,shapesphysical,0.8055,0.8098,0.0042999999999999705
sub-065,lucy,0.8346,0.8389,0.0042999999999999705
sub-200,shapessocial,0.7929,0.7972,0.0042999999999999705
sub-158,sherlock,0.7588,0.7631,0.0042999999999999705
sub-153,merlin,0.812,0.8163,0.0042999999999999705
sub-032,pieman,0.8879,0.8922,0.0042999999999999705
sub-339,notthefallshortscram,0.8863,0.8906,0.0042999999999999705
sub-231,shapessocial,0.7595,0.7637,0.0042000000000000925
sub-284,forgot,0.8267,0.8309,0.0041999999999999815
sub-224,shapesphysical,0.778,0.7822,0.0041999999999999815
sub-179,sherlock,0.767,0.7712,0.0041999999999999815
sub-096,prettymouth,0.8486,0.8528,0.0041999999999999815
sub-306,piemanpni,0.8857,0.8898,0.0040999999999999925
sub-303,black,0.7738,0.7779,0.0040999999999999925
sub-053,lucy,0.8751,0.8792,0.0040999999999999925
sub-233,shapesphysical,0.774,0.7781,0.0040999999999999925
sub-329,notthefallshortscram,0.8896,0.8936,0.0040000000000000036
sub-169,sherlock,0.7892,0.7932,0.0040000000000000036
sub-140,slumlordreach,0.857,0.861,0.0040000000000000036
sub-279,forgot,0.791,0.795,0.0040000000000000036
sub-274,piemanpni,0.8596,0.8636,0.0040000000000000036
sub-231,shapesphysical,0.7486,0.7526,0.0040000000000000036
sub-292,forgot,0.8783,0.8822,0.0039000000000000146
sub-084,notthefallshortscram,0.8392,0.8431,0.0039000000000000146
sub-040,pieman,0.8902,0.894,0.0038000000000000256
sub-140,notthefallintact,0.8452,0.849,0.0038000000000000256
sub-041,lucy,0.8549,0.8586,0.0037000000000000366
sub-267,piemanpni,0.7717,0.7754,0.0036999999999999256
sub-173,sherlock,0.8067,0.8103,0.0036000000000000476
sub-075,merlin,0.7781,0.7817,0.0035999999999999366
sub-038,prettymouth,0.8671,0.8706,0.0035000000000000586
sub-308,bronx,0.8509,0.8544,0.0035000000000000586
sub-299,forgot,0.8127,0.8162,0.0035000000000000586
sub-276,bronx,0.8758,0.8793,0.0034999999999999476
sub-281,forgot,0.81,0.8135,0.0034999999999999476
sub-291,piemanpni,0.7937,0.7971,0.0034000000000000696
sub-304,piemanpni,0.7817,0.7851,0.0034000000000000696
sub-292,piemanpni,0.9337,0.9371,0.0034000000000000696
sub-272,piemanpni,0.8209,0.8243,0.0034000000000000696
sub-282,forgot,0.8408,0.8442,0.0033999999999999586
sub-249,21styear,0.8094,0.8128,0.0033999999999999586
sub-201,21styear,0.8017,0.805,0.0033000000000000806
sub-071,pieman,0.9148,0.9181,0.0033000000000000806
sub-345,notthefallshortscram,0.9051,0.9084,0.0032999999999999696
sub-315,piemanpni,0.8323,0.8356,0.0032999999999999696
sub-307,forgot,0.7717,0.775,0.0032999999999999696
sub-235,21styear,0.7969,0.8002,0.0032999999999999696
sub-111,notthefalllongscram,0.9544,0.9576,0.0031999999999999806
sub-240,shapessocial,0.8269,0.8301,0.0031999999999999806
sub-271,21styear,0.848,0.8511,0.0030999999999999917
sub-061,pieman,0.8463,0.8494,0.0030999999999999917
sub-300,piemanpni,0.8831,0.8862,0.0030999999999999917
sub-081,pieman,0.8821,0.8851,0.0030000000000000027
sub-213,shapesphysical,0.9036,0.9066,0.0030000000000000027
