subject,story,raw_score,sft_score,delta
sub-195,notthefallintact,0.8152,0.8148,-0.00040000000000006697
sub-339,notthefallintact,0.9696,0.9692,-0.00040000000000006697
sub-098,prettymouth,0.9601,0.9596,-0.0004999999999999449
sub-065,tunnel,0.9886,0.9881,-0.000500000000000056
sub-305,piemanpni,0.7942,0.7937,-0.000500000000000056
sub-343,notthefallshortscram,0.9762,0.9756,-0.0005999999999999339
sub-063,tunnel,0.8169,0.8163,-0.0005999999999999339
sub-325,notthefallshortscram,0.8245,0.8239,-0.0006000000000000449
sub-143,notthefallintact,0.8951,0.8945,-0.0006000000000000449
sub-267,forgot,0.8962,0.8956,-0.0006000000000000449
sub-218,shapesphysical,0.7537,0.7531,-0.0006000000000000449
sub-062,pieman,0.9727,0.972,-0.0007000000000000339
sub-038,pieman,0.9815,0.9808,-0.0007000000000000339
sub-086,prettymouth,0.9759,0.9752,-0.0007000000000000339
sub-299,bronx,0.82,0.8192,-0.0007999999999999119
sub-274,forgot,0.9813,0.9805,-0.0007999999999999119
sub-073,pieman,0.9703,0.9695,-0.0008000000000000229
sub-056,tunnel,0.9492,0.9484,-0.0008000000000000229
sub-135,notthefallintact,0.914,0.9132,-0.0008000000000000229
sub-084,slumlordreach,0.8699,0.8691,-0.0008000000000000229
sub-242,shapesphysical,0.8708,0.87,-0.0008000000000000229
sub-290,piemanpni,0.86,0.8591,-0.0009000000000000119
sub-252,shapessocial,0.8002,0.7992,-0.0010000000000000009
sub-208,shapesphysical,0.7598,0.7588,-0.0010000000000000009
sub-191,shapesphysical,0.939,0.938,-0.0010000000000000009
sub-052,lucy,0.9167,0.9156,-0.0010999999999999899
sub-141,slumlordreach,0.8221,0.821,-0.001100000000000101
sub-300,forgot,0.9032,0.902,-0.0011999999999999789
sub-066,notthefallintact,0.98,0.9788,-0.0011999999999999789
sub-245,shapessocial,0.8722,0.871,-0.0011999999999999789
sub-106,notthefallintact,0.9236,0.9224,-0.0011999999999999789
sub-250,shapessocial,0.9565,0.9553,-0.0011999999999999789
sub-176,merlin,0.816,0.8147,-0.0012999999999999678
sub-181,shapesphysical,0.7632,0.7619,-0.0012999999999999678
sub-230,shapessocial,0.8395,0.8382,-0.0013000000000000789
sub-299,black,0.8636,0.8623,-0.0013000000000000789
sub-273,black,0.7869,0.7856,-0.0013000000000000789
sub-335,notthefalllongscram,0.8776,0.8763,-0.0013000000000000789
sub-096,notthefallintact,0.8811,0.8797,-0.0013999999999999568
sub-179,merlin,0.7986,0.7971,-0.0014999999999999458
sub-095,notthefallshortscram,0.8219,0.8204,-0.0014999999999999458
sub-081,prettymouth,0.8946,0.8931,-0.0014999999999999458
sub-079,prettymouth,0.8808,0.8793,-0.0015000000000000568
sub-258,21styear,0.8342,0.8327,-0.0015000000000000568
sub-058,shapesphysical,0.9526,0.9511,-0.0015000000000000568
sub-171,sherlock,0.7951,0.7936,-0.0015000000000000568
sub-216,shapessocial,0.7798,0.7782,-0.0016000000000000458
sub-152,sherlock,0.7497,0.7481,-0.0016000000000000458
sub-296,bronx,0.8354,0.8338,-0.0016000000000000458
sub-230,shapesphysical,0.9778,0.9762,-0.0016000000000000458
sub-309,forgot,0.8317,0.8301,-0.0016000000000000458
sub-164,sherlock,0.7961,0.7945,-0.0016000000000000458
sub-306,forgot,0.856,0.8543,-0.0017000000000000348
sub-334,notthefallintact,0.8778,0.8761,-0.0017000000000000348
sub-211,shapessocial,0.9507,0.949,-0.0017000000000000348
sub-216,shapesphysical,0.8699,0.8682,-0.0017000000000000348
sub-050,prettymouth,0.7902,0.7885,-0.0017000000000000348
sub-235,shapesphysical,0.7769,0.7752,-0.0017000000000000348
sub-144,notthefallintact,0.9681,0.9663,-0.0017999999999999128
sub-297,bronx,0.8968,0.895,-0.0018000000000000238
sub-268,notthefallintact,0.9725,0.9707,-0.0018000000000000238
sub-138,slumlordreach,0.9057,0.9038,-0.0018999999999999018
sub-222,shapessocial,0.8864,0.8845,-0.0019000000000000128
sub-281,bronx,0.8836,0.8817,-0.0019000000000000128
sub-215,shapesphysical,0.8718,0.8698,-0.0020000000000000018
sub-181,shapessocial,0.8806,0.8786,-0.0020000000000000018
sub-058,lucy,0.9178,0.9158,-0.0020000000000000018
sub-273,piemanpni,0.8356,0.8336,-0.0020000000000000018
sub-242,shapessocial,0.9784,0.9764,-0.0020000000000000018
sub-059,pieman,0.8811,0.8791,-0.0020000000000000018
sub-278,bronx,0.8467,0.8446,-0.0020999999999999908
sub-095,shapessocial,0.8194,0.8172,-0.0021999999999999797
sub-299,piemanpni,0.8661,0.8639,-0.0021999999999999797
sub-220,shapesphysical,0.7945,0.7922,-0.0022999999999999687
sub-072,pieman,0.8965,0.8942,-0.0022999999999999687
sub-314,forgot,0.8239,0.8216,-0.0022999999999999687
sub-172,merlin,0.8172,0.8149,-0.0023000000000000798
sub-060,lucy,0.8618,0.8594,-0.0023999999999999577
sub-049,shapesphysical,0.7472,0.7448,-0.0023999999999999577
sub-246,shapessocial,0.8104,0.808,-0.0023999999999999577
sub-267,21styear,0.867,0.8646,-0.0023999999999999577
sub-223,shapessocial,0.8565,0.8541,-0.0024000000000000687
sub-115,shapessocial,0.8057,0.8032,-0.0024999999999999467
sub-208,shapessocial,0.8814,0.8789,-0.0024999999999999467
sub-137,slumlordreach,0.9033,0.9008,-0.0024999999999999467
sub-214,shapessocial,0.8154,0.8129,-0.0025000000000000577
sub-332,notthefallshortscram,0.8447,0.8422,-0.0025000000000000577
sub-220,shapessocial,0.8382,0.8356,-0.0025999999999999357
sub-151,merlin,0.7727,0.7701,-0.0026000000000000467
sub-229,shapessocial,0.8981,0.8955,-0.0026000000000000467
sub-239,shapesphysical,0.902,0.8993,-0.0027000000000000357
sub-087,prettymouth,0.9234,0.9205,-0.0029000000000000137
sub-274,bronx,0.8501,0.8472,-0.0029000000000000137
sub-236,shapessocial,0.8144,0.8114,-0.0030000000000000027
sub-223,shapesphysical,0.8049,0.8019,-0.0030000000000000027
sub-054,pieman,0.9734,0.9704,-0.0030000000000000027
sub-309,bronx,0.7554,0.7524,-0.0030000000000000027
sub-298,piemanpni,0.8552,0.8522,-0.0030000000000000027
sub-226,shapesphysical,0.8675,0.8644,-0.0031000000000001027
sub-218,shapessocial,0.809,0.8059,-0.0031000000000001027
sub-029,pieman,0.836,0.8328,-0.0031999999999999806
sub-034,prettymouth,0.8775,0.8743,-0.0031999999999999806
sub-331,notthefallintact,0.8665,0.8633,-0.0032000000000000917
sub-115,shapesphysical,0.7559,0.7526,-0.0032999999999999696
sub-235,shapessocial,0.8404,0.837,-0.0034000000000000696
sub-297,forgot,0.8787,0.8753,-0.0034000000000000696
sub-243,shapessocial,0.8299,0.8263,-0.0035999999999999366
sub-277,piemanpni,0.8194,0.8158,-0.0036000000000000476
sub-274,black,0.7917,0.788,-0.0036999999999999256
sub-275,piemanpni,0.826,0.8223,-0.0036999999999999256
sub-005,tunnel,0.8818,0.8781,-0.0037000000000000366
sub-294,black,0.8076,0.8039,-0.0037000000000000366
sub-283,piemanpni,0.8428,0.8391,-0.0037000000000000366
sub-232,shapesphysical,0.819,0.8152,-0.0037999999999999146
sub-227,shapessocial,0.7994,0.7956,-0.0038000000000000256
sub-186,shapessocial,0.8146,0.8108,-0.0038000000000000256
sub-280,bronx,0.8176,0.8138,-0.0038000000000000256
sub-210,shapesphysical,0.7755,0.7716,-0.0039000000000000146
sub-229,shapesphysical,0.7738,0.7699,-0.0039000000000000146
sub-127,piemanpni,0.8595,0.8556,-0.0039000000000000146
sub-251,shapessocial,0.8549,0.8509,-0.0040000000000000036
sub-297,black,0.8121,0.8081,-0.0040000000000000036
sub-275,black,0.796,0.7918,-0.0042000000000000925
sub-132,notthefalllongscram,0.8297,0.8252,-0.0044999999999999485
sub-061,lucy,0.8441,0.8396,-0.0044999999999999485
sub-279,bronx,0.8782,0.8737,-0.0044999999999999485
sub-272,black,0.7597,0.755,-0.0047000000000000375
sub-207,shapessocial,0.7768,0.772,-0.0048000000000000265
sub-284,black,0.8244,0.8194,-0.0050000000000000044
sub-059,tunnel,0.8762,0.8711,-0.005099999999999993
sub-055,tunnel,0.84,0.8347,-0.005299999999999971
sub-248,shapesphysical,0.7492,0.7438,-0.00539999999999996
sub-227,shapesphysical,0.7151,0.7095,-0.005599999999999938
sub-215,shapessocial,0.7922,0.7866,-0.005600000000000049
sub-241,shapessocial,0.7756,0.7696,-0.006000000000000005
sub-310,black,0.8003,0.7943,-0.006000000000000005
sub-214,shapesphysical,0.8323,0.8262,-0.006099999999999994
sub-226,shapessocial,0.867,0.8607,-0.006299999999999972
sub-234,shapessocial,0.7702,0.7636,-0.00660000000000005
sub-219,shapesphysical,0.7232,0.7164,-0.006799999999999917
sub-201,shapessocial,0.7996,0.7928,-0.006800000000000028
sub-095,shapesphysical,0.8294,0.8225,-0.006900000000000017
sub-295,black,0.8381,0.8311,-0.007000000000000006
sub-191,shapessocial,0.8116,0.8044,-0.007199999999999984
sub-249,shapesphysical,0.8802,0.8729,-0.007299999999999973
sub-108,prettymouth,0.8375,0.8301,-0.007400000000000073
sub-209,shapesphysical,0.7494,0.7417,-0.007699999999999929
sub-186,shapesphysical,0.7317,0.7239,-0.007800000000000029
sub-241,shapesphysical,0.7878,0.7798,-0.007999999999999896
sub-090,prettymouth,0.8995,0.8914,-0.008099999999999996
sub-249,shapessocial,0.7646,0.7563,-0.008299999999999974
sub-084,prettymouth,0.7745,0.7659,-0.008599999999999941
sub-247,shapesphysical,0.82,0.8114,-0.008599999999999941
sub-049,shapessocial,0.8532,0.8437,-0.009499999999999953
sub-237,shapesphysical,0.739,0.7276,-0.011399999999999966
sub-232,shapessocial,0.8478,0.8284,-0.019399999999999973
sub-110,prettymouth,0.9699,0.929,-0.040899999999999936
sub-323,notthefallintact,0.9627,0.9169,-0.04579999999999995
sub-026,pieman,0.9592,0.9014,-0.057800000000000074
sub-251,shapesphysical,0.9581,0.8976,-0.0605
sub-221,shapesphysical,0.9361,0.8631,-0.07300000000000006
